customer_id,product_id,interaction
15493,REGENCY TEA PLATE GREEN ,1
16415,WOODEN HEART CHRISTMAS SCANDINAVIAN,1
14535,SET OF 6 SPICE TINS PANTRY DESIGN,1
12856,DISCO BALL CHRISTMAS DECORATION,1
17841,CHARLOTTE BAG SUKI DESIGN,1
13632,GARDEN PATH POCKET BOOK,1
13822,LUNCH BAG VINTAGE DOILY ,1
16117,FIRST AID TIN,1
14060,GREEN GOOSE FEATHER TREE 60CM,1
17591,GIN + TONIC DIET METAL SIGN,1
13692,PARTY CHARMS 50 PIECES,1
15525,SET OF 4 ROSE BOTANICAL CANDLES,1
13634,CREAM HEART CARD HOLDER,1
12540,LUNCH BAG RED RETROSPOT,1
18225,RED RETROSPOT SMALL MILK JUG,1
17530,WICKER STAR ,1
13842,WOODEN HEART CHRISTMAS SCANDINAVIAN,1
15051,KINGS CHOICE MUG,1
18154,HEART OF WICKER SMALL,1
15529,TRADITIONAL MODELLING CLAY,1
14577,SILK PURSE BABUSHKA PINK,1
18181,I'M ON HOLIDAY METAL SIGN,1
13208,3 HOOK PHOTO SHELF ANTIQUE WHITE,1
16370,JUMBO BAG 50'S CHRISTMAS ,1
16839,12 IVORY ROSE PEG PLACE SETTINGS,1
14667,WHITE CHRISTMAS GARLAND STARS TREES,1
14796,SET OF 60 I LOVE LONDON CAKE CASES ,1
16788,JUMBO BAG SPACEBOY DESIGN,1
14646,DOVE DECORATION PAINTED ZINC ,1
14646,CHARLOTTE BAG APPLES DESIGN,1
16057,LUNCH BAG ALPHABET DESIGN,1
13458,DOORMAT HOME SWEET HOME BLUE ,1
16556,PACK OF 20 NAPKINS PANTRY DESIGN,1
15998,SKULLS GREETING CARD,1
16728,ENAMEL FLOWER JUG CREAM,1
15039,PACK OF 20 SKULL PAPER NAPKINS,1
16386,DOLLY GIRL CHILDRENS BOWL,1
16085,PICTURE DOMINOES,1
17841,SET OF 3 WOODEN HEART DECORATIONS,1
14733,PAPER CHAIN KIT 50'S CHRISTMAS ,1
16303,LUNCH BAG RED RETROSPOT,1
14535,CHILDRENS CUTLERY SPACEBOY ,1
16713,FAWN BLUE HOT WATER BOTTLE,1
16370,RED FLOWER CROCHET FOOD COVER,1
15719,JUMBO BAG STRAWBERRY,1
13435,BLACK TEA TOWEL CLASSIC DESIGN,1
13102,SPACEBOY LUNCH BOX ,1
15570,RED HANGING HEART T-LIGHT HOLDER,1
17472,PACK OF 72 RETROSPOT CAKE CASES,1
17652,STRAWBERRY LUNCH BOX WITH CUTLERY,1
15356,NO SINGING METAL SIGN,1
16706,CLOTHES PEGS RETROSPOT PACK 24 ,1
15358,CHILDRENS APRON SPACEBOY DESIGN,1
15065,WRAP POPPIES  DESIGN,1
17841,"NURSERY A,B,C PAINTED LETTERS",1
14534,JAM JAR WITH PINK LID,1
14502,ENAMEL BREAD BIN CREAM,1
16379,SET OF 4 PANTRY JELLY MOULDS,1
14083,TOY TIDY SPACEBOY  ,1
16284,12 PENCIL SMALL TUBE WOODLAND,1
12683,APPLE BATH SPONGE,1
14911,JAM MAKING SET WITH JARS,1
14911,"GARLAND, MAGIC GARDEN 1.8M",1
13265,SMALL HEART MEASURING SPOONS,1
15480,CHILDRENS CUTLERY CIRCUS PARADE,1
17924,CHRISTMAS LIGHTS 10 SANTAS ,1
16549,IVORY WICKER HEART LARGE,1
16327,RED PAPER PARASOL,1
15356,CHARLOTTE BAG VINTAGE ALPHABET ,1
15549,GARDENERS KNEELING PAD KEEP CALM ,1
14156,COOK WITH WINE METAL SIGN ,1
15599,SET 12 RETRO WHITE CHALK STICKS,1
16618,JAM JAR WITH GREEN LID,1
17799,CLASSIC FRENCH STYLE BASKET BROWN,1
16795,FINE WICKER HEART ,1
15297,VINTAGE SNAP CARDS,1
13764,LUNCH BAG SUKI  DESIGN ,1
17059,RED RETROSPOT MINI CASES,1
18198,SMALL WHITE HEART OF WICKER,1
12748,ROSES REGENCY TEACUP AND SAUCER ,1
12748,ALPHABET HEARTS STICKER SHEET,1
15021,PEARLISED IVORY HEART LARGE ,1
17315,BEADED CRYSTAL HEART PINK SMALL,1
14040,SMALL POPCORN HOLDER,1
12689,PLASTERS IN TIN WOODLAND ANIMALS,1
12705,BLUE SPOT CERAMIC DRAWER KNOB,1
12480,CAKE STAND LOVEBIRD 2 TIER PINK,1
12749,CHICK GREY HOT WATER BOTTLE,1
13097,CHILDS GARDEN BRUSH PINK,1
14482,BOX OF 24 COCKTAIL PARASOLS,1
15249,VINTAGE BILLBOARD TEA MUG,1
12867,SCANDINAVIAN REDS RIBBONS,1
14096,FIVE CATS HANGING DECORATION,1
17454,SET/6 RED SPOTTY PAPER CUPS,1
14304,TRADITIONAL MODELLING CLAY,1
16713,ASSORTED COLOUR BIRD ORNAMENT,1
15311,LUNCH BAG APPLE DESIGN,1
14092,SET OF PICTURE FRAME  STICKERS,1
17095,MEMO BOARD COTTAGE DESIGN,1
17338,SPACEBOY LUNCH BOX ,1
14505,SET 12 COLOUR PENCILS LOVE LONDON,1
12901,RED  HARMONICA IN BOX ,1
15469,HOME BUILDING BLOCK WORD,1
13767,ASSORTED COLOUR BIRD ORNAMENT,1
17602,TRAVEL CARD WALLET KEEP CALM,1
17839,PANTRY SCRUBBING BRUSH,1
17288,POPPY'S PLAYHOUSE BATHROOM,1
14592,CARD MOTORBIKE SANTA,1
13230,RED SPOT CERAMIC DRAWER KNOB,1
15005,STRAWBERRY CHARLOTTE BAG,1
15146,10 COLOUR SPACEBOY PEN,1
13064,PACK OF 12 TRADITIONAL CRAYONS,1
16690,ANTIQUE SILVER T-LIGHT GLASS,1
13700,BANQUET BIRTHDAY  CARD  ,1
18094,DOORMAT FANCY FONT HOME SWEET HOME,1
14048,CARD SUKI BIRTHDAY,1
13588,GIN & TONIC DIET GREETING CARD ,1
17238,CERAMIC STRAWBERRY MONEY BOX,1
17222,PAINTED METAL PEARS ASSORTED,1
14849,PACK OF 60 DINOSAUR CAKE CASES,1
13230,RED RETROSPOT TEA CUP AND SAUCER ,1
12795,CHERRY BLOSSOM  DECORATIVE FLASK,1
17397,CHILDREN'S SPACEBOY MUG,1
13709,BLUE DINER WALL CLOCK,1
14959,IVORY HANGING DECORATION  BIRD,1
15856,TRAVEL CARD WALLET I LOVE LONDON,1
13835,CHRISTMAS STAR WISH LIST CHALKBOARD,1
12626,SET OF 6 SOLDIER SKITTLES,1
13246,STRAWBERRY CERAMIC TRINKET BOX,1
16081,CHRISTMAS HANGING STAR WITH BELL,1
12748,RED  HARMONICA IN BOX ,1
18231,PINK DRAWER KNOB ACRYLIC EDWARDIAN,1
13050,ALARM CLOCK BAKELIKE PINK,1
14191,RED STRIPE CERAMIC DRAWER KNOB,1
14156,LUNCH BAG RED RETROSPOT,1
13975,RECIPE BOX RETROSPOT ,1
18121,FOLKART ZINC HEART CHRISTMAS DEC,1
12553,FELTCRAFT PRINCESS CHARLOTTE DOLL,1
14209,RED HANGING HEART T-LIGHT HOLDER,1
12782,60 TEATIME FAIRY CAKE CASES,1
18198,SET OF 9 BLACK SKULL BALLOONS,1
14096,ASSORTED COLOUR MINI CASES,1
15493,LAVENDER TOILETTE BOTTLE,1
16494,BUNNY EGG BOX,1
16440,DECORATIVE WICKER HEART LARGE,1
17690,WRAP POPPIES  DESIGN,1
14286,ALPHABET STENCIL CRAFT,1
17865,FRIDGE MAGNETS LA VIE EN ROSE,1
14911,PINK REGENCY TEACUP AND SAUCER,1
14415,VINTAGE CHRISTMAS BUNTING,1
13657,SLEEPING CAT ERASERS,1
15356,LUNCH BAG SUKI  DESIGN ,1
12670,ROLL WRAP VINTAGE SPOT ,1
15009,4 PEAR BOTANICAL DINNER CANDLES,1
12517,JUMBO STORAGE BAG SUKI,1
14409,BLUE POLKADOT WRAP,1
17069,CHARLOTTE BAG SUKI DESIGN,1
15555,GREEN CHRISTMAS TREE CARD HOLDER,1
15743,JINGLE BELL HEART DECORATION,1
17735,ROUND CONTAINER SET OF 5 RETROSPOT,1
13081,REGENCY CAKESTAND 3 TIER,1
16122,3 STRIPEY MICE FELTCRAFT,1
15622,PAPER CHAIN KIT VINTAGE CHRISTMAS,1
13901,SET/6 FRUIT SALAD PAPER CUPS,1
17964,SET 12 KIDS COLOUR  CHALK STICKS,1
13448,PAPER POCKET TRAVELING FAN ,1
15775,ZINC WILLIE WINKIE  CANDLE STICK,1
16426,LUNCH BAG RED VINTAGE DOILY,1
