customer_id,product_id,interaction
A2MFGX04ZU1F3Y,B0017DGOE0,4
A28SGSRAU64NDM,B0017DGOE0,5
AF62W6NCDXM6E,B000MAOWO8,3
A8K8ZL4HXGDCG,B000MAOWO8,5
A3SZAN83WQGL2I,B000MAOWO8,5
A376OJHLE6SU9Q,B0010XUU9M,5
A1VC4AO4P4XT82,B0010XUU9M,5
ASW8UGIJ7JZJY,B0010XUU9M,2
A36R1GGNDJ0R5I,B0010XUU9M,5
A1GKBY472Z7C65,B0010XUU9M,5
A17JLYU3GTERHZ,B0010XUU9M,3
A2D1LPEUCTNT8X,B0010XUU9M,5
A291HTT117RVS9,B0010XUU9M,4
A2J19U8H5SSFCJ,B0010XUU9M,5
A8XG4YHHLQHXZ,B0010XUU9M,5
AACQ1EIUB4YDF,B0010XUU9M,5
A1SKP50JKWEUPK,B0010XUU9M,4
AHUJB9FTS71RE,B0010XUU9M,4
A3E5V5TSTAY3R9,B0010XUU9M,4
A2MBC6I47FJGJU,B0010XUU9M,5
A2RTUUUQFLALVN,B0010XUU9M,3
ABPNZ9RKXOP0E,B0010XUU9M,5
ABQVDKWU40G0V,B0010XUU9M,2
A26CZB9RL9K68Y,B0010XUU9M,2
A22KMCKYE5KQ2X,B0010XUU9M,5
A1MI1I73Z5J9MI,B0010XUU9M,5
ATSR2L4FZVO8Z,B0010XUU9M,5
AUZ8FSNOTA0DN,B0010XUU9M,5
A6URLRH7KLZNW,B0010XUU9M,5
A2GHU8I0P3HFRW,B0010XUU9M,5
A2736JMP1XQ6VJ,B0010XUU9M,5
A3BCAPLFRXKX9T,B0010XUU9M,4
A2A2IE8NTCQETX,B0010XUU9M,5
A2HF97O48PIMOZ,B0010XUU9M,5
A2GJX2KCUSR0EI,B0010XUU9M,5
A2XEDF8EE006E7,B0010XUU9M,5
A1JNEGVVM6PA0U,B0010XUU9M,5
A3N65H2Q320Y4H,B0010XUU9M,4
A2M4P28TXJEBH7,B0010XUU9M,5
A66XG9X8S7IH,B0009EILKS,4
A2OW3P93GY12LK,B0009EILKS,4
AK7Y8VU666GJ7,B0009EILKS,5
A28WXDXJA1P0MC,B0009EILKS,5
A3RLFUK2L89G9C,B0009EILKS,1
AE7KK0I7MVO1F,B0009EILKS,5
A297R44X7WEQ8T,B0009EILKS,5
A160VWZVLL6O8G,B0009EILKS,4
A1RNYEDG22K83,B0009EILKS,4
A2O56QHTYVTAT6,B0009EILKS,2
AD49674EWA74I,B0009EILKS,3
AXK3KYH8NQ9G2,B0009EILKS,5
A1AAIZE46O771R,B0009EILKS,1
A1D106CTACVIA1,B0009EILKS,3
A2V55J9CCQCOG0,B0009EILKS,5
A1ALLX746J1O5O,B0009EILKS,2
A1ZH9LWMX5UCFJ,B0009EILKS,5
